ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
76	"Devery Henderson, NO WR"	0/0	0	0	0	1	14	0	33	455	2	58
77	"Golden Tate, Sea WR"	0/0	0	0	0	6	17	0	33	375	2	50
78	"Santana Moss, Wsh WR"	0/0	0	0	0	0	0	0	34	447	2	56
79	"David Nelson, Buf WR"	0/0	0	0	0	0	0	0	51	490	3	67
80	"Danny Amendola, StL WR"	0/0	0	0	0	0	0	0	77	636	1	69
81	"Austin Collie, Ind WR"	0/0	0	0	0	0	0	0	55	574	3	75
82	"Kevin Walter, Hou WR"	0/0	0	0	0	0	0	0	44	532	3	71
83	"Brian Hartline, Mia WR"	0/0	0	0	0	2	21	0	43	610	1	69
84	"Jerrel Jernigan, NYG WR"	0/0	0	0	0	0	0	0	29	312	2	43
85	"Donald Jones, Buf WR"	0/0	0	0	0	3	14	0	33	333	2	46
86	"Jordan Shipley, Cin WR"	0/0	0	0	0	0	0	0	27	281	1	34
87	"Mike Thomas, Jac WR"	0/0	0	0	0	7	41	0	37	362	2	52
88	"Emmanuel Sanders, Pit WR"	0/0	0	0	0	0	0	0	26	355	2	47
89	"Jacoby Jones, Bal WR"	0/0	0	0	0	4	19	0	26	397	2	52
90	"Clyde Gates, Mia WR"	0/0	0	0	0	0	0	0	32	404	2	50
91	"Marvin Jones, Cin WR"	0/0	0	0	0	0	0	0	16	267	1	32
92	"Earl Bennett, Chi WR"	0/0	0	0	0	0	0	0	24	324	2	42
93	"Mohamed Massaquoi, Cle WR"	0/0	0	0	0	0	0	0	40	507	1	56
94	"Danario Alexander, StL WR"	0/0	0	0	0	0	0	0	26	376	2	49
95	"Chaz Schilens, NYJ WR"	0/0	0	0	0	0	0	0	23	308	1	36
96	"Marcus Easley, Buf WR"	0/0	0	0	0	0	0	0	24	331	1	39
97	"Armon Binns, Cin WR"	0/0	0	0	0	0	0	0	20	267	1	32
98	"T.Y. Hilton, Ind WR"	0/0	0	0	0	4	28	0	23	352	2	49
99	"Nick Toon, NO WR"	0/0	0	0	0	0	0	0	18	217	2	33
100	"Early Doucet, Ari WR"	0/0	0	0	0	0	0	0	0	0	0	0
101	"Jerricho Cotchery, Pit WR"	0/0	0	0	0	0	0	0	0	0	0	0
102	"Arrelious Benn, TB WR"	0/0	0	0	0	0	0	0	0	0	0	0
103	"Deion Branch, NE WR"	0/0	0	0	0	0	0	0	0	0	0	0
104	"Mike Williams, Sea WR"	0/0	0	0	0	0	0	0	0	0	0	0
105	"Lee Evans, Jac WR"	0/0	0	0	0	0	0	0	0	0	0	0
106	"Louis Murphy, Oak WR"	0/0	0	0	0	0	0	0	0	0	0	0
107	"Jason Avant, Phi WR"	0/0	0	0	0	0	0	0	0	0	0	0
108	"Andre Roberts, Ari WR"	0/0	0	0	0	0	0	0	0	0	0	0
109	"Devin Hester, Chi WR"	0/0	0	0	0	0	0	0	0	0	0	0
110	"Kevin Ogletree, Dal WR"	0/0	0	0	0	0	0	0	0	0	0	0
